Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes
LGCD-001,Various,Quartet Beats!,Lolistyle Gabbers,"CDr, Comp",,2011,3234190,,2017-12-05 17:49:28
none,Various,OSVR Xtra Trax,Lolistyle Gabbers,"CDr, Promo",,2013,4973554,,2017-07-25 12:40:36
none,Lolistyle Gabbers,C86 Bonus Disc,Lolistyle Gabbers,"CDr, Single, Ltd, Promo",,2014,6003077,,2017-07-25 12:40:41
M.3CDR,Government Alpha / Knurl,Government Alpha / Knurl,M.Recordings,"CDr, Ltd, Num",,2000,1208228,,2019-05-31 15:23:53
MORI 05,Valefor,Invokation Ov Forneus,Memento Mori,"CD, Album",,1998,242796,,2018-07-09 13:36:48
MORI 13,Valefor,Graves Of Andras,Memento Mori,"CD, Album",,2001,242800,,2018-07-09 13:37:01
WD24,Brian Grainger,Ten Thousand Winters,Milieu Music,"CDr, Mini, Single, Ltd",,2012,4563935,,2013-05-13 22:45:15
DEAD 15 CD,Darkness Enshroud,Unveiled Ghostly Shadows,Moribund Records,"CD, Album",,1996,916215,,2017-10-26 14:03:28
none,m1dy,TSSC (Tokyo Style SpeedCore),MP3.com,"CDr, Album, Enh",,2001,2472033,,2012-07-02 22:43:51
MPTCD001,Various,Bastard Pop Terrorists Vol. 1,MPT,"CD, Comp",,2005,562517,,2012-09-08 16:33:23
MPTCD002,Various,Bastard Pop Terrorists Vol. 2,MPT,"CD, Comp",,2005,593623,,2012-09-08 16:33:01
MPTLTD001,MPT Tag-Team,UG DJ Tool Vol. 1,MPT,"CDr, Ltd, Promo",,2005,1076508,,2018-07-29 16:52:11
MPTLTD002,MPT Tag-Team,UG DJ Tool Vol. 2,MPT,"CDr, Ltd, Promo",,2005,1554137,,2018-07-29 16:52:17
MPTLTD003,M-Project,UG DJ Tool Vol. 3,MPT,"Minimax, Single",,2014,5955728,,2018-07-29 16:51:54
none,"Billy ""Daniel"" Bunter",91 To 93 Old Skool Hardcore Promo Mix,Music Mondays,"CDr, Mixed, Promo",,2016,9540272,,2018-08-15 11:33:38
none,"Billy ""Daniel"" Bunter",The Love Dove Generation,Music Mondays,"CD, Mixed, Promo",,2015,9540383,,2018-08-15 11:33:40
none,Various,I ♥ Happy Hardcore Second Birthday Live,Music Mondays,"6xCD, Mixed + Box",,2016,10797984,,2018-11-28 14:20:57
NCCD-001,Shot Bass Idiots,Sbi4nce,NC帝国,"CDr, Mixed",,2011,7468673,,2016-12-15 17:23:16
NCCD-002,Shot Bass Idiots,Sbi4nce2,NC帝国,"CDr, Mixed",,2012,6720430,,2018-01-18 14:54:30
NEO 29 CD,Secede,Silent Flower Observers,Neo Ouija,"CD, Album, Unofficial",,2005,1416129,,2012-11-23 20:49:19
NIP-0002,m1dy,Innocent EP,Nest (2),"CDr, EP, Ltd",,2003,1734143,,2012-07-02 22:44:14
(David Wenngren Self-released),Library Tapes,En Viskning,Not On Label,CDr,,2009,1949128,,2013-07-21 19:19:46
none,Procer Veneficus,Residual Tides,Not On Label,"CDr, MiniAlbum, Ltd",,2005,704933,,2013-05-05 10:55:23
none,Xasthur,A Darkened Winter,Not On Label,"CDr, Ltd, Promo",,2001,736733,,2015-02-18 20:42:10
none,"Absonus Noctis, Procer Veneficus",The Dimlit Path Downward,Not On Label,"CD, Album",,2005,1945726,,2013-05-05 10:54:06
none,Windham Hell,Complete Awareness,Not On Label,"Cass, Dem",,1992,3112625,,2012-07-19 02:18:04
none,Cokiyu,cokiyu demo,Not On Label,"CDr, dem",,2006,1101223,,2018-02-18 20:30:23
Original Self Published CDR-001,Osamu Sato,Mono,Not On Label,"CDr, EP, Mono, Ltd, Num",,2017,10156681,,2017-08-01 13:46:03
none,Aural Vampire,Death Folder,Not On Label (Aural Vampire Self-released),"CD, Single",,2005,3924138,,2017-11-12 12:22:30
none,Aural Vampire,EP2,Not On Label (Aural Vampire Self-released),"CD, EP",,2008,3924162,,2017-11-12 12:22:37
none,Aural Vampire,EP,Not On Label (Aural Vampire Self-released),"CD, EP",,2008,3924146,,2017-11-12 12:22:44
none,Aural Vampire,EP3,Not On Label (Aural Vampire Self-released),"CD, Single",,2009,3924169,,2017-11-12 12:22:49
none,Aural Vampire,Freeeeze!!,Not On Label (Aural Vampire Self-released),"CD, Single",,2009,3924153,,2017-11-12 12:22:55
none,die!!die!!color!!!,1st Demo,Not On Label (die!!die!!color!!! Self-Released),"CDr, Album",,2002,2051362,,2017-02-23 19:06:55
none,die!!die!!color!!!,2nd Demo,Not On Label (die!!die!!color!!! Self-Released),"CDr, Album",,2006,3302944,,2017-02-23 19:06:58
none,Forest Silence,The 3rd Winter,Not On Label (Forest Silence Self-released),CDr,,1997,878539,,2012-08-26 14:41:23
none,Forest Silence,The Eternal Winter,Not On Label (Forest Silence Self-released),CDr,,2002,878542,,2012-08-26 14:41:09
none,Forest Silence,Winter Circle,Not On Label (Forest Silence Self-released),CDr,,2000,896578,,2012-08-26 14:41:31
none,Haruka Nakamura,6月の食卓,Not On Label (Haruka Nakamura Self-Released),"CD, EP",,2010,10255720,,2017-08-15 20:57:36
